[Normal]Item: Thanh C©u La H¸n PhËt Ch©u(0,1,904,1,2,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n T¨ng M¹o(0,1,905,0,1,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n Th­îng Giíi(0,1,906,0,3,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n Hé UyÓn(0,1,907,1,4,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n Thóc Yªu(0,1,908,0,0,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n Cµ Sa(0,1,909,0,2,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n TriÒn Thñ(0,1,910,6,1,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n T¨ng Hµi(0,1,911,0,3,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n Yªu Trôy(0,1,912,1,4,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n H¹ Giíi(0,1,913,0,0,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n H¹ Giíi(0,1,913,0,0,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n Yªu Trôy(0,1,912,1,4,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n T¨ng Hµi(0,1,911,0,3,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n TriÒn Thñ(0,1,910,6,1,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n Cµ Sa(0,1,909,0,2,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n Thóc Yªu(0,1,908,0,0,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n Hé UyÓn(0,1,907,1,4,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n Th­îng Giíi(0,1,906,0,3,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n T¨ng M¹o(0,1,905,0,1,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n PhËt Ch©u(0,1,904,1,2,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n PhËt Ch©u(0,1,904,1,2,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n T¨ng M¹o(0,1,905,0,1,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n Th­îng Giíi(0,1,906,0,3,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n Hé UyÓn(0,1,907,1,4,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n Thóc Yªu(0,1,908,0,0,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n Cµ Sa(0,1,909,0,2,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n TriÒn Thñ(0,1,910,6,1,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n T¨ng Hµi(0,1,911,0,3,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n Yªu Trôy(0,1,912,1,4,10), unbind = 0, bind = 20
[Normal]Item: Thanh C©u La H¸n H¹ Giíi(0,1,913,0,0,10), unbind = 0, bind = 20
[Normal]Item: V©n Léc Giíi LuËt PhËt Ch©u(0,1,1144,1,4,10), unbind = 0, bind = 50
[Normal]Item: V©n Léc Giíi LuËt T¨ng M¹o(0,1,1145,0,0,10), unbind = 0, bind = 50
[Normal]Item: V©n Léc Giíi LuËt Th­îng Giíi(0,1,1146,0,2,10), unbind = 0, bind = 50
