Name	TransLife	CurrentLevel	CurrentExp	CurrentExpPercent
HÈiQu∏nV‚L©m	0	120	0.025000025	25
Adminnnnn	6	150	0.038854881	0
TheQueen	0	81	0.000274834	2
DayChuyen1	0	60	1.575e-05	1
Xo∏yN∏tßÍiNhau	0	77	0.00080413	11
GiaŸLuÀtŸHÂngŸY	0	120	0	0
123adasd	0	150	0.710873418	88
adsade	0	150	0	0
ChungŸLinhŸTÛ	0	120	0	0
ThichTreoGame	0	60	0.00135293	91
NgocBoi1	0	60	0	0
Th›chßiTÔmLum	0	77	0.00193201	28
ß≠ÍngŸB∏ŸHÊ	0	90	2.7526e-05	0
LamPh≠ÓngHoµng	0	60	0	0
cAIbANG	0	150	0.734644883	91
XaTara	0	82	0.002291258	21
adaeqwe	0	200	0	0
HÂngŸL®ngŸBa	0	80	2.4383e-05	0
9CungVµng	0	76	0.000381498	6
ßπtŸMaŸTÊŸS≠	0	200	0	0
B–Qu∏ßÈc	0	90	0	0
Tuy÷t∂nh	0	75	0.001758968	31
Tr≠¨ngCh©nNh©n	0	60	0	0
Si™uBuff	0	74	0.002351484	45
q≠eqwe123	0	10	0	0
PYTAŸGaming	0	200	0	0
TLDaoVN	0	60	0	0
q≠eqeqwe	0	30	0	0
BÔmCh–o	0	77	0.002693756	39
Ti”uHÂLy	0	77	0.002680126	39
